,394.82,419.632,470.587,483.663,494.417,522.006,556.364,675.851,680.352,quality_Medium
0,77.8794,90.7707,97.3374,98.4187,99.3904,98.8776,99.4382,99.5941,99.729,0
1,76.5763,90.6102,97.6976,99.4867,100.749,99.9206,101.042,100.742,100.992,0
2,87.0422,94.6104,98.6507,99.343,99.7644,99.8313,100.089,99.75,99.9066,0
3,74.3003,88.088,95.5285,96.905,97.5908,98.5331,98.7721,98.0677,98.2107,0
4,88.4583,95.9721,100.353,100.328,101.29,101.386,101.317,101.046,100.823,0
5,90.4908,97.3116,100.835,100.693,101.443,100.882,101.396,101.328,101.292,0
6,89.4642,92.3204,96.3764,97.6662,98.6322,97.4558,97.8763,97.1175,97.0988,0
7,84.1223,91.5921,96.8258,96.325,97.5911,97.2242,96.7914,96.4306,96.5831,0
8,91.3601,95.9952,99.041,99.5537,99.4206,100.366,99.957,100.236,100.033,0
9,75.7143,86.8431,94.6858,96.3206,96.1565,97.6337,97.7814,98.4223,98.4868,0
10,75.7536,87.7912,96.7766,97.7576,99.005,99.8507,100.528,100.584,100.64,0
11,95.3275,97.0433,99.6224,98.6522,98.9548,98.9231,100.096,99.3698,99.4208,0
12,70.4231,84.4702,93.6833,94.9364,95.3488,97.1495,96.3313,97.3562,96.7621,0
13,88.0469,94.65,97.1593,97.6114,97.384,98.8537,98.2533,98.5865,98.3402,0
14,76.8429,90.7841,99.2098,99.7181,100.707,100.944,101.424,100.975,101.222,0
15,77.1045,90.8047,99.1796,100.105,101.265,101.853,102.178,102.162,102.349,0
16,85.4893,94.1415,99.8759,99.9585,99.3969,100.059,99.3684,99.4702,99.5143,0
17,91.5628,94.1399,96.7173,97.2335,96.4471,98.6025,97.6704,97.9999,98.0393,0
18,85.4247,86.9164,86.1482,85.7137,87.3016,86.4773,85.9183,85.9063,85.8785,0
19,96.6579,99.3338,101.703,101.58,101.286,102.082,101.612,101.806,101.652,0
20,87.4711,95.5261,100.563,101.668,101.666,101.747,101.685,101.402,101.436,0
21,73.6731,90.0998,99.2077,100.05,100.054,99.7425,99.7769,99.81,99.9582,0
22,97.6284,99.8031,101.841,100.842,101.513,100.951,102.594,101.893,101.696,0
23,86.6843,93.9469,98.913,98.5678,99.363,99.6015,100.648,100.525,100.594,0
24,87.5488,95.1943,99.4897,100.048,100.042,100.702,100.773,100.519,100.789,0
25,68.6086,83.3844,91.9924,93.2931,93.9275,95.2676,95.6957,96.0225,97.0513,0
26,84.7571,91.3199,97.806,97.69,98.3608,98.6057,98.6171,99.1947,98.936,0
27,98.8963,99.6398,101.183,100.671,100.971,100.586,100.861,101.418,100.542,0
28,89.8989,94.289,96.2302,96.2928,96.162,95.9959,95.8755,96.075,96.039,0
29,95.7223,97.6911,98.3729,99.1252,98.4581,98.6393,99.4317,99.552,99.0455,0
30,101.164,100.899,100.973,100.583,100.943,100.389,100.897,100.569,100.778,0
31,86.1062,95.3936,99.3062,99.0092,99.7895,99.4549,101.003,100.266,100.659,0
32,75.375,86.7479,93.441,93.8745,94.3602,94.7167,94.8461,94.7176,94.6946,0
33,92.4951,96.1489,98.5081,98.4795,98.6061,98.532,98.6462,98.7824,98.796,0
34,88.5892,95.2884,99.2332,99.4128,99.7781,99.9305,100.166,100.389,100.569,0
35,72.0149,85.4079,94.4327,95.7898,96.8364,97.3376,98.181,98.8044,98.9322,0
36,92.4696,93.5631,94.7795,94.7877,95.5803,94.8235,94.8151,94.7746,94.8815,0
37,84.4437,93.4799,99.272,100.464,99.9993,99.881,99.9825,98.8824,99.1711,0
38,87.4253,93.2388,97.4944,98.7139,98.6362,98.6878,99.2792,99.2152,99.7593,0
39,92.1732,97.3137,99.7597,100.218,100.222,100.379,100.333,101.052,101.087,0
40,76.2272,89.6526,97.2606,98.9576,100.125,99.5479,99.8194,99.9094,99.9469,0
41,82.08,93.5472,100.271,100.265,101.042,101.76,101.397,101.421,101.304,0
42,94.971,99.6339,102.145,101.448,101.911,102.278,101.815,101.948,101.663,0
43,93.4403,97.9022,100.485,102.332,100.717,101.185,100.88,101.344,101.286,0
44,88.6471,93.9831,98.4783,100.398,99.0274,99.8438,99.719,99.7072,99.5806,0
45,88.5601,93.5957,98.1592,99.9654,98.5009,99.7533,99.4238,100.056,99.9381,0
46,83.8005,94.3218,100.18,100.632,101.298,101.435,101.535,101.455,101.349,0
47,86.0493,91.8083,95.1305,95.384,95.8209,96.457,96.0098,95.8263,95.7709,0
48,70.3081,81.8104,88.0661,88.8245,89.7725,89.7883,89.9584,90.7018,90.1059,0
49,86.8633,95.402,99.6479,100.011,100.556,100.408,100.49,101.66,100.981,0
